#{"t_start": 1767541112.093963, "env_id": "None"}
r,l,t
18.200419,29,328.165121
13.81061,26,328.648359
3.238087,19,329.005071
-20.0,1,329.024892
-20.0,1,329.045657
66.151906,63,330.208491
68.517558,65,331.387762
-20.0,1,331.410755
-20.0,1,331.430997
-18.533573,2,331.46701
8.504102,23,331.883425
-20.0,1,331.904011
-20.0,1,331.924159
-20.0,1,331.944518
-5.135056,12,332.169147104.436489,93,333.27638
-7.011409,11,333.476035
4.109685,19,333.819033
38.622556,46,334.637026
-6.931365,13,334.33.8072037.644379,43,335.694804
-3.093853,13,335.941771
20.35621,31,336.518895
4.766907,20,336.89041
-20.0,1,336.911275
-20.0,1,336.9347.615140.019364,101,338.78143
17.665015,33,339.383831
-2.520412,15,339.652821
74.570163,72,340.998681
-20.0,1,341.020821
6.990553,22,341.430649
-8.788801,9,341.592952
7.884872,23,342.031798
-2.716851,14,342.287149
26.675182,39,343.030592
-20.0,1,343.051773
-20.0,1,343.07287328-2.65231,14,343.33423463.367908,63,344.36188
75.721967,79,345.815458
-3.295792,13,346.052257
-14.490017,5,346.155025
-20.0,1,346.175743
-2.536973,14,346.437786
16.423296,29,346.989644
-2.250251,14,347.248207
130.393534,101,349.081191
51.271446,55,350.042309
-20.0,1,350.061572
38.608011,43,350.81192
41.441158,49,351.734345
0.265005,16,352.028948
11.709169,25,352.475975
-20.0,1,352.496425
-14.522095,5,352.588576
-20.0,1,352.60863
2.167831,18,352.965242
-10.77542,8,353.114696
85.333853,84,354.683757
-20.0,1,354.704451
-5.942745,11,354.918203
-20.0,1,354.939711
-20.0,1,354.961523
-20.0,1,354.982852
-18.507893,2,355.020728
26.974773,37,355.669034
2.058002,18,355.987179
44.793181,51,356.907468
-20.0,1,356.931328
-4.724125,13,357.187014
40.949855,50,358.089771
-20.0,1,358.110359
64.317682,65,359.274058
-18.538024,2,359.314081
23.174981,33,359.956133
54.404623,57,361.031981
2.560038,20,361.402285
-20.0,1,361.422141
20.153585,32,362.047444
140.614879,101,363.887169
-9.784522,9,364.063806
68.237668,69,365.344842
125.010136,101,367.187429
33.831199,40,367.926753
-2.347122,14,368.195833
-20.0,1,368.217224
-20.0,1,368.238664
-0.793147,16,368.53998
-20.0,1,368.560663
22.168873,34,369.166409
-11.830452,8,369.306799
4.183391,20,369.655421
6.110805,23,370.088054
-20.0,1,370.108368
-9.947374,8,370.249028
138.661085,101,372.329529
28.109103,37,373.325041
-20.0,1,373.347731
-20.0,1,373.373561
-20.0,1,373.398173
-2.25713,14,373.668529
-1.178361,15,373.957524
31.916873,40,374.709725
132.989489,101,376.572534
57.896772,59,377.643947
-4.043145,14,377.898021
-20.0,1,377.918071
13.710605,27,378.454547
-2.984498,14,378.710826
-10.468337,8,378.868011
-3.460519,13,379.1128
4.350139,19,379.461692
-20.0,1,379.48235
-20.0,1,379.502531
37.039995,43,380.288148
136.052685,101,382.148644
22.670182,32,382.712564
65.548022,67,383.937135
-20.0,1,383.957387
-20.0,1,383.976733
139.277944,101,385.797235
-20.0,1,385.81965
-15.69762,4,385.903502
-20.0,1,385.928178
55.809701,57,386.935066
134.352799,101,388.777786
48.383839,55,389.791694
7.720551,23,390.247968
-20.0,1,390.26964
-20.0,1,390.291627
136.88234,101,392.145044
6.312772,20,392.523124
14.749368,28,393.0627
15.696884,28,393.596278
0.972512,17,393.93377
20.697084,30,394.513929
43.001534,49,395.405412
-12.832019,6,395.512445
21.322564,31,396.068326
101.062433,90,397.74269
-20.0,1,397.764743
-14.618124,5,397.876052
3.147601,19,398.234656
0.192437,16,398.516749
-20.0,1,398.536466
-20.0,1,398.558913
74.112608,79,400.062216
52.992697,58,401.197434
-8.240246,10,401.387445
-10.664615,8,401.533685
-20.0,1,401.558798
8.347186,25,402.042007
134.880643,101,403.958039
-7.250298,11,404.170839
26.720094,36,404.795265
-20.0,1,404.821108
4.311848,19,405.15695
46.72805,53,406.055176
51.439022,52,407.011389
-1.52984,15,407.287222
-20.0,1,407.31012
10.308328,27,407.824137
-20.0,1,407.849643
128.053706,101,409.683036
-20.0,1,409.705658
-11.850839,7,409.843336
43.867759,48,410.746855
9.428667,24,411.202276
-20.0,1,411.222095
-10.195937,8,411.36404
-15.786502,4,411.434782
10.510045,26,411.925041
-3.834505,13,412.155241
10.810734,24,412.568213
27.38954,42,413.362738
5.147039,19,413.727256
111.197945,100,415.540288
-2.726481,14,415.805424
30.427541,40,416.559058
-13.207147,6,416.665468
11.277659,25,417.124355
-20.0,1,417.143632
-20.0,1,417.163194
3.834754,18,417.476775
53.973409,57,418.551251
5.230439,21,418.962757
-0.161292,15,419.248379
99.24514,93,421.031177
-20.0,1,421.051837
25.454398,34,421.652942
77.621976,74,423.019739
-11.432237,7,423.148074
27.376337,38,423.868123
91.291408,92,425.560443
-1.572989,15,425.822205
-20.0,1,425.846794
-8.223758,10,426.027862
86.951255,79,427.459358
-5.062234,12,427.689478
13.419405,27,428.215179
64.202666,65,429.380539
34.293424,44,430.189517
-20.0,1,430.212034
12.787303,25,430.667525
25.440953,35,431.38926
-20.0,1,431.408827
67.212434,65,433.24341
-15.807643,4,433.35736
-17.209442,3,433.422713
-5.093884,13,433.799706
38.953245,44,434.914462
-20.0,1,434.937754
-1.413475,15,435.27954
-1.576689,14,435.534767
19.80642,31,436.206158
49.384679,52,437.189837
-20.0,1,437.209909
12.84856,25,437.678002
-20.0,1,437.701721
-5.832343,11,437.918343
57.652785,60,438.998172
-20.0,1,439.018573
-20.0,1,439.038766
4.206991,19,439.390142
-20.0,1,439.410975
15.848994,27,439.915366
-5.903301,11,440.111985
2.516087,17,440.426234
-20.0,1,440.453012
-7.300762,10,440.656573
-3.564926,13,440.930327
73.800923,73,442.281066
-17.328469,3,442.343279
7.250504,21,442.747743
21.19545,32,443.365876
31.533041,48,444.280884
24.458898,36,444.959537
-4.274489,12,445.170114
7.71448,21,445.570176
106.63912,92,447.231244
-14.384331,5,447.322535
10.630295,25,447.765961
136.587596,101,449.569358
14.398655,27,450.056815
3.950268,19,450.404029
-20.0,1,450.427525
50.643442,53,451.361975
-5.063922,12,451.594572
6.881973,21,452.002123
-20.0,1,452.021995
-15.73385,4,452.09535
63.155858,72,453.459476
44.698665,50,454.383743
18.574518,29,454.89408
-20.0,1,454.917667
42.381321,45,455.740944
-15.997497,4,455.816437
-20.0,1,455.843157
-8.48552,10,456.032787
59.765875,63,457.195164
71.338789,71,458.455655
33.817602,43,459.274644
15.77159,27,459.718857
67.671234,67,460.964497
-20.0,1,460.985647
64.807675,63,462.106
37.944112,46,462.95634
-20.0,1,462.979377
36.784212,44,463.817094
14.203052,27,464.347966
47.511448,52,465.291016
92.262737,91,466.936444
33.107132,49,467.828674
31.608773,40,468.576701
14.238124,27,469.075642
-4.831239,12,469.311126
6.815262,21,469.700215
10.343884,24,470.164327
8.80131,22,470.564036
17.847923,29,471.074132
-20.0,1,471.094043
40.614462,48,471.963934
16.410924,29,472.508431
-20.0,1,472.529549
-11.697044,7,472.65996
3.685702,19,473.040931
55.831969,58,474.124796
80.562852,83,475.632311
-20.0,1,475.655438
-20.0,1,475.67695
-12.108399,7,475.794825
-17.362591,3,475.858382
-4.614219,12,476.075469
-11.357896,7,476.197208
42.21278,51,477.136337
-20.0,1,477.15597
-20.0,1,477.175661
56.29691,58,478.26198
81.204465,78,479.703614
-4.116945,14,479.9832
0.00357,17,480.349072
-12.212486,7,480.477832
1.66788,17,480.793885
-6.638758,12,481.028313
-11.548853,7,481.153435
14.116806,30,481.678243
21.259914,32,482.252119
1.035751,16,482.543151
-20.0,1,482.564181
-18.610897,2,482.604833
4.521852,19,482.998782
-20.0,1,483.020549
85.062631,83,484.544262
-6.204106,12,484.766442
-20.0,1,484.78642
0.111259,17,485.100293
22.1085,31,485.635264
4.599727,19,486.013359
-20.0,1,486.035354
3.8375,18,486.385271
-7.523733,10,486.578696
-8.906367,9,486.761182
-20.0,1,486.782768
-20.0,1,486.806468
-0.237925,15,487.102646
5.063629,19,487.460773
15.656364,29,487.99364
11.636461,25,488.42796
0.182008,16,488.712801
60.263345,62,489.852335
7.855489,21,490.204021
-10.133122,9,490.363899
-13.790022,6,490.473509
-20.0,1,490.493006
-17.421191,3,490.551453
-20.0,1,490.573193
-20.0,1,490.594425
-20.0,1,490.61612
1.539201,17,490.946298
-6.384884,12,491.263291
-20.0,1,491.284405
-15.853972,4,491.359898
-20.0,1,491.380793
-20.0,1,491.401325
1.12891,17,491.710341
-20.0,1,491.731218
